,image,subject,scanner,type,view
1010,orig/s06-ams-ge-discovery-3-fspgr-20140519/s06-ams-ge-discovery-3-fspgr-20140519_z.png,s06,ams-discovery-fspgr,orig,Axial
1011,orig/s06-ber-si-triotim-5-mprage_r01-20140520/s06-ber-si-triotim-5-mprage_r01-20140520_x.png,s06,ber-triotim-mprage,orig,Sagittal
1012,orig/s06-ber-si-triotim-5-mprage_r01-20140520/s06-ber-si-triotim-5-mprage_r01-20140520_y.png,s06,ber-triotim-mprage,orig,Coronal
1013,orig/s06-ber-si-triotim-5-mprage_r01-20140520/s06-ber-si-triotim-5-mprage_r01-20140520_z.png,s06,ber-triotim-mprage,orig,Axial
1014,orig/s08-ams-ge-discovery-7-fspgr-20140519/s08-ams-ge-discovery-7-fspgr-20140519_z.png,s08,ams-discovery-fspgr,orig,Axial
1015,orig/s08-ams-ge-discovery-7-fspgr-20140519/s08-ams-ge-discovery-7-fspgr-20140519_x.png,s08,ams-discovery-fspgr,orig,Sagittal
1016,orig/s08-ams-ge-discovery-7-fspgr-20140519/s08-ams-ge-discovery-7-fspgr-20140519_y.png,s08,ams-discovery-fspgr,orig,Coronal
1017,orig/s09-sf-si-skyra-21-mprage-20140331/s09-sf-si-skyra-21-mprage-20140331_z.png,s09,sf-skyra-mprage,orig,Axial
1018,orig/s09-sf-si-skyra-21-mprage-20140331/s09-sf-si-skyra-21-mprage-20140331_y.png,s09,sf-skyra-mprage,orig,Coronal
1019,orig/s09-sf-si-skyra-21-mprage-20140331/s09-sf-si-skyra-21-mprage-20140331_x.png,s09,sf-skyra-mprage,orig,Sagittal
1020,orig/s01-bas-si-avanto-21-mprage-20140518/s01-bas-si-avanto-21-mprage-20140518_z.png,s01,bas-avanto-mprage,orig,Axial
1021,orig/s01-bas-si-avanto-21-mprage-20140518/s01-bas-si-avanto-21-mprage-20140518_y.png,s01,bas-avanto-mprage,orig,Coronal
1022,orig/s01-bas-si-avanto-21-mprage-20140518/s01-bas-si-avanto-21-mprage-20140518_x.png,s01,bas-avanto-mprage,orig,Sagittal
1023,orig/s10-bas-si-prisma-4-t1se-20140518/s10-bas-si-prisma-4-t1se-20140518_z.png,s10,bas-prisma-t1se,orig,Axial
1024,orig/s10-bas-si-prisma-4-t1se-20140518/s10-bas-si-prisma-4-t1se-20140518_x.png,s10,bas-prisma-t1se,orig,Sagittal
1025,orig/s10-bas-si-prisma-4-t1se-20140518/s10-bas-si-prisma-4-t1se-20140518_y.png,s10,bas-prisma-t1se,orig,Coronal
1026,orig/s06-bas-si-prisma-2-mprage-20140518/s06-bas-si-prisma-2-mprage-20140518_z.png,s06,bas-prisma-mprage,orig,Axial
1027,orig/s06-bas-si-prisma-2-mprage-20140518/s06-bas-si-prisma-2-mprage-20140518_y.png,s06,bas-prisma-mprage,orig,Coronal
1028,orig/s06-bas-si-prisma-2-mprage-20140518/s06-bas-si-prisma-2-mprage-20140518_x.png,s06,bas-prisma-mprage,orig,Sagittal
1029,orig/s05-ams-ge-discovery-3-fspgr-20140519/s05-ams-ge-discovery-3-fspgr-20140519_y.png,s05,ams-discovery-fspgr,orig,Coronal
1030,orig/s05-ams-ge-discovery-3-fspgr-20140519/s05-ams-ge-discovery-3-fspgr-20140519_x.png,s05,ams-discovery-fspgr,orig,Sagittal
1031,orig/s05-ams-ge-discovery-3-fspgr-20140519/s05-ams-ge-discovery-3-fspgr-20140519_z.png,s05,ams-discovery-fspgr,orig,Axial
1032,orig/s10-ams-ge-discovery-7-fspgr-20140519/s10-ams-ge-discovery-7-fspgr-20140519_x.png,s10,ams-discovery-fspgr,orig,Sagittal
1033,orig/s10-ams-ge-discovery-7-fspgr-20140519/s10-ams-ge-discovery-7-fspgr-20140519_y.png,s10,ams-discovery-fspgr,orig,Coronal
1034,orig/s10-ams-ge-discovery-7-fspgr-20140519/s10-ams-ge-discovery-7-fspgr-20140519_z.png,s10,ams-discovery-fspgr,orig,Axial
1035,orig/s07-osl-ge-signa-3-fspgr-20140522/s07-osl-ge-signa-3-fspgr-20140522_x.png,s07,osl-signa-fspgr,orig,Sagittal
1036,orig/s07-osl-ge-signa-3-fspgr-20140522/s07-osl-ge-signa-3-fspgr-20140522_y.png,s07,osl-signa-fspgr,orig,Coronal
1037,orig/s07-osl-ge-signa-3-fspgr-20140522/s07-osl-ge-signa-3-fspgr-20140522_z.png,s07,osl-signa-fspgr,orig,Axial
1038,orig/s08-bas-si-skyra-16-mprage-20140518/s08-bas-si-skyra-16-mprage-20140518_x.png,s08,bas-skyra-mprage,orig,Sagittal
